Ents,Proc,Improc,Parcproc,Acordo
artigo 791 - A da CLT,81,11,203,0
artigo 467 da CLT,67,26,613,0
Lei 13. 467 / 2017,142,76,590,0
ADC nº 16,75,35,608,0
artigos 467 e 477 da CLT,124,30,429,0
"art. 71, 8 1º, da Lei nº 8. 666 / 93",43,22,332,0
Súmula 331 do TST,98,26,628,0
artigos 186 e 927 do Código Civil,45,16,361,0
artigo 883 da CLT,13,3,303,0
art. 2º da CLT,42,9,150,0
Súmula 368 do TST,72,24,489,0
Súmula 381 do TST,44,22,494,0
art. 818 da CLT,17,24,224,0
Súmula 200 do TST,15,4,359,0
artigo 71 da Lei 8666 / 93,15,6,190,0
artigo 455 da CLT,15,4,214,0
"art. 477, 8 8º, da CLT",40,11,224,0
parágrafo primeiro do artigo 71 da Lei 8. 666 / 98,9,1,88,0
AIRR,57,19,384,0
Lei 8. 666 / 93,31,10,294,0
ADC 16 / DF,50,16,263,0
Lei nº 5. 584 / 70,20,7,199,0
art. 844 da CLT,43,4,175,0
"art. 790, 8 3º, da CLT",52,15,207,0
Súmulas 219 e 329 do TST,21,27,256,0
item VI da Súmula 331 do TST,17,12,238,0
Lei nº 13. 467 / 17,39,5,153,0
art. 1º - F da Lei nº 9. 494,8,21,86,0
art. 186 do Código Civil,82,12,85,0
artigo 37 da Constituição Federal,12,7,223,0
artigo 39 da Lei 8. 177 / 91,18,2,99,0
$ 8º do artigo 477 da CLT,8,3,208,0
Lei 5584 / 70,13,31,279,0
artigo 28 da Lei nº 8. 212 / 91,4,1,71,0
art. 769 da CLT,31,23,128,0
"art. 832, 83º da CLT",10,6,80,0
"Súmula 331, IV, do TST",36,9,215,0
RE 760931,42,12,247,0
art. 406 do Código Civil,54,7,132,0
"CLT, art. 818 c / c do CPC / 15, art. 373, inciso |",21,9,194,0
"artigos 29, VII, 58, 67 e 78, VII, da lei 8. 666 / 93",12,0,157,0
artigo 402 do Código Civil,13,4,160,0
Ação Declaratória de Constitucionalidade nº 16,5,6,94,0
Ag,24,9,195,0
Súmula 461 do TST,9,6,159,0
"artigo 114, VIII, da Constituição Federal",9,3,46,0
OJ 400 da SDI - 1 do C. TST,9,2,145,0
art. 12 - A da Lei nº 7. 713,9,0,50,0
Lei n. º 8. 666,17,4,183,0
Recurso Extraordinário ( RE ) 760931,18,5,82,0
Súmula 219 do TST,4,4,118,0
Súmula 126 / TST,16,6,105,0
Lei 8. 177 / 91,19,3,172,0
artigo 43 da Lei nº 8. 212 / 91,3,0,65,0
Lei nº 8. 666 / 98,14,2,88,0
"artigo 5º, X, da CF",14,6,166,0
"artigo 7º, XXIX, da Constituição Federal",13,4,105,0
Súmula 331,4,4,92,0
-,0,0,0,0
OJ 363 da SDI - 1 do TST,10,1,126,0
ARTS. 159 DO CCB / 1916,4,1,76,0
"artigo 5º, caput e inciso XXXVI, da Constituição Federal",8,3,115,0
Código de Processo Civil,19,13,129,0
"art. 896, CLT",11,1,101,0
2016,16,8,135,0
art. 28 da Lei 8212 / 91,11,0,148,0
Lei 12. 506 / 2011,13,4,105,0
Lei de Licitações,16,4,100,0
"art. 46, Lei 8. 541 / 92",2,0,67,0
LEI Nº 13. 015 / 2014,17,14,93,0
Súmula 305 do TST,13,13,83,0
"art. 373, Il, do CPC de 2015",6,5,66,0
79400,12,3,129,0
Reforma Trabalhista,37,24,80,0
ADC 58,34,4,71,0
Constituição Federal,18,7,116,0
"item V, da Súmula 331, do C. TST",22,6,67,0
art. 71 da Lei 6. 666 / 93,64,5,314,0
"artigos 58, Il e 67, ambos da Lei 8666 / 98",8,2,93,0
Leis 1. 060 / 50,2,4,54,0
artigo 189 do CC,9,3,116,0
"aris. 58, Ill, e 67 da Lei 8. 666 / 93",0,1,51,0
"83º, do art. 790, da CLT",31,9,28,0
arts. 389 e 404 do Código Civil,1,1,47,0
"Súmula nº 331, V, desta Corte",8,3,89,0
artigo 344 do CPC,2,2,50,0
OJ nº 382 da SDI1 do TST,0,0,42,0
"artigo 487, 8 3º, da CLT",5,1,85,0
TRT,11,16,72,0
"artigo 485, inciso IV, do CPC",9,3,45,0
"art. 832, 8 3º, da CLT",12,0,49,0
art. 14 do CPC,5,5,41,0
"artigo 3º, III, da CF",7,1,76,0
Decreto 2745 / 98.,12,4,93,0
Lei 1060 / 50,7,4,98,0
artigo 67 da Lei nº 9. 478 / 97,12,4,93,0
OJ,20,3,87,0
"artigo 3º, Ill, da CF",7,3,79,0
artigo 67 da Lei 9478 / 97,12,3,93,0
artigo 1º - F da Lei 9494 / 97,9,1,99,0
"súmula 368, item Il do C. TST",1,0,53,0
Súmula 439 do C. TST,27,1,89,0
:,0,0,0,0
art. 145 da CLT,34,0,33,0
0482,3,1,77,0
artigo 12 - A da Lei 7713 / 88,5,0,73,0
Carta Magna,14,7,82,0
Lei nº 10. 035,4,1,71,0
Consolidação das Leis do Trabalho,11,10,58,0
"artigo 459, 8 1º, da CLT",0,0,50,0
art. 39 da CLT,6,0,58,0
RJ,13,6,82,0
"artigo 15, da Lei 8. 036 / 90",9,4,69,0
SDI1,12,3,86,0
Constituição,14,8,77,0
"artigo 39, 8 1º, da Lei 8. 177 / 91",4,0,50,0
artigo 927 do Código Civil,7,3,51,0
art. 404 do Código Civil de 2002,12,0,90,0
art. 884 do CC,6,0,54,0
Lei nº 12. 350 / 2010,10,0,50,0
Instrução Normativa RFB nº 1500,4,1,66,0
"arts. 186 e 927, - caput -, do CCB / 2002",8,1,86,0
ADC 16 / 2010,0,0,93,0
artigo 198 do Decreto nº 3. 048 / 99,4,1,66,0
ART. 477 DA CLT,67,12,256,0
"CDC, art. 104, primeira parte",0,1,32,0
art. 15 do CPC,13,8,43,0
