ents,freq
artigo 791 - A da CLT,1708
artigo 467 da CLT,1618
Lei 13. 467 / 2017,1596
ADC nº 16,1298
artigos 467 e 477 da CLT,1291
"art. 71, 8 1º, da Lei nº 8. 666 / 93",1097
Súmula 331 do TST,896
artigos 186 e 927 do Código Civil,856
artigo 883 da CLT,774
art. 2º da CLT,771
Súmula 368 do TST,770
Súmula 381 do TST,741
art. 818 da CLT,613
Súmula 200 do TST,584
artigo 71 da Lei 8666 / 93,578
artigo 455 da CLT,555
"art. 477, 8 8º, da CLT",535
parágrafo primeiro do artigo 71 da Lei 8. 666 / 98,464
AIRR,458
Lei 8. 666 / 93,455
ADC 16 / DF,453
Lei nº 5. 584 / 70,450
art. 844 da CLT,404
"art. 790, 8 3º, da CLT",401
Súmulas 219 e 329 do TST,385
item VI da Súmula 331 do TST,371
Lei nº 13. 467 / 17,350
art. 1º - F da Lei nº 9. 494,343
art. 186 do Código Civil,318
artigo 37 da Constituição Federal,311
artigo 39 da Lei 8. 177 / 91,309
$ 8º do artigo 477 da CLT,303
Lei 5584 / 70,288
artigo 28 da Lei nº 8. 212 / 91,284
art. 769 da CLT,281
"art. 832, 83º da CLT",281
"Súmula 331, IV, do TST",279
RE 760931,272
art. 406 do Código Civil,270
"CLT, art. 818 c / c do CPC / 15, art. 373, inciso |",269
"artigos 29, VII, 58, 67 e 78, VII, da lei 8. 666 / 93",269
artigo 402 do Código Civil,265
Ação Declaratória de Constitucionalidade nº 16,252
Ag,228
Súmula 461 do TST,218
"artigo 114, VIII, da Constituição Federal",215
OJ 400 da SDI - 1 do C. TST,214
art. 12 - A da Lei nº 7. 713,200
Lei n. º 8. 666,198
Recurso Extraordinário ( RE ) 760931,197
Súmula 219 do TST,195
Súmula 126 / TST,193
Lei 8. 177 / 91,190
artigo 43 da Lei nº 8. 212 / 91,185
Lei nº 8. 666 / 98,180
"artigo 5º, X, da CF",180
"artigo 7º, XXIX, da Constituição Federal",179
Súmula 331,173
-,167
OJ 363 da SDI - 1 do TST,162
ARTS. 159 DO CCB / 1916,162
"artigo 5º, caput e inciso XXXVI, da Constituição Federal",162
Código de Processo Civil,160
"art. 896, CLT",155
2016,154
art. 28 da Lei 8212 / 91,152
Lei 12. 506 / 2011,152
Lei de Licitações,149
"art. 46, Lei 8. 541 / 92",148
LEI Nº 13. 015 / 2014,148
Súmula 305 do TST,143
